forme	lemme	catégorie
la	le	DETDFS
petite	petit	ADJFS
Sylvia	Sylvia	NPHSIG
dans	dans	PREP
un	un	DETIMS
landau	landau	NCMS
gros	gros	ADJMIN
bleu	bleu	NCMS
.	.	PCTFORTE
Et	et	COO
encore	encore	ADV
don	don	NCMS
Carlos	Carlos	NPMS
,	,	PCTFAIB
en	en	PREP
deuil	deuil	NCMS
,	,	PCTFAIB
avec	avec	PREP
sa	son	DETPOSS
livrée	livrée	NCFS
antique	antique	ADJSIG
et	et	COO
solennelle	solennel	ADJFS
;	;	PCTFORTE
Selim	selim	NPMS
pacha	pacha	NCMS
,	,	PCTFAIB
avec	avec	PREP
son	son	DETPOSS
fez	fez	NCMIN
et	et	COO
sans	sans	PREP
son	son	NCMS
gouverneur	gouverneur	NCMS
;	;	PCTFORTE
la	le	DETDFS
duchesse	duc	NCFS
de	de	PREP
Rozan	Rozan	NPI
,	,	PCTFAIB
en	en	PREP
coupé-	coupé-	PCTFORTE
égoïste	égoïste	ADJSIG
,	,	PCTFAIB
avec	avec	PREP
sa	son	DETPOSS
livrée	livrée	NCFS
poudrée	poudrer	VPARPFS
à	à	PREP
blanc	blanc	NCMS
;	;	PCTFORTE
M.	m.	NCMIN
le	le	DETDMS
comte	comte	NCMS
de	de	PREP
Chibray	Chibray	NPI
,	,	PCTFAIB
en	en	PREP
dog-cart	dog-cart	NCMS
;	;	PCTFORTE
M.	m.	NCMIN
Simpson	Simpson	NPMS
,	,	PCTFAIB
en	en	PREP
mail	mail	NCMS
de	de	PREP
la	le	DETDFS
plus	plus	ADV
belle	beau	ADJFS
tenue	tenu	ADJFS
;	;	PCTFORTE
toute	tout	ADJFS
la	le	DETDFS
colonie	colonie	NCFS
américaine	américain	NCFS
.	.	PCTFORTE
Enfin	enfin	ADV
deux	deux	ADJNUM
académiciens	académicien	NCMP
,	,	PCTFAIB
en	en	PREP
fiacre	fiacre	NCMS
.	.	PCTFORTE
Les	le	DETDPIG
premières	premier	ADJORD
voitures	voiture	NCFP
se	se	PPER3S
dégagèrent	dégager	VINDPS3P
et	et	COO
,	,	PCTFAIB
de	de	PREP
proche	proche	ADJSIG
en	en	PREP
proche	proche	NCSIG
,	,	PCTFAIB
toute	tout	ADJFS
la	le	DETDFS
file	file	NCFS
se	se	PPER3S
mit	mettre	VINDPS3S
bientôt	bientôt	ADV
à	à	PREP
rouler	rouler	VINF
doucement	doucement	ADV
.	.	PCTFORTE
Ce	ce	PDS
fut	être	VINDPS3S
comme	comme	SUB
un	un	DETIMS
réveil	réveil	NCMS
.	.	PCTFORTE
Mille	Mille	NPMS
clartés	clarté	NCFP
dansantes	dansant	ADJFP
s'	se	PPER3S
allumèrent	allumer	VINDPS3P
,	,	PCTFAIB
des	de le	DETDPIG
éclairs	éclair	NCMP
rapides	rapide	ADJPIG
se	se	PPER3S
croisèrent	croiser	VINDPS3P
dans	dans	PREP
les	le	DETDPIG
roues	roue	NCFP
,	,	PCTFAIB
des	un	DETDPIG
étincelles	étincelle	NCFP
jaillirent	jaillir	VINDPS3P
des	de le	DETDPIG
harnais	harnais	NCHMIN
secoués	secouer	VPARPMP
par	par	PREP
les	le	DETDPIG
chevaux	cheval	NCMP
.	.	PCTFORTE
Il	il	PPER3S
y	y	PPER3S
eut	avoir	VINDPS3S
sur	sur	PREP
le	le	DETDMS
sol	sol	NCMS
,	,	PCTFAIB
sur	sur	PREP
les	le	DETDPIG
arbres	arbre	NCMP
,	,	PCTFAIB
de	de	PREP
larges	large	ADJPIG
reflets	reflet	NCMP
de	de	PREP
glace	glace	NCFS
qui	qui	PRI
couraient	courir	VINDI3P
.	.	PCTFORTE
Ce	ce	DETDEM
pétillement	pétillement	NCMS
des	de le	DETDPIG
harnais	harnais	NCHMIN
et	et	COO
des	un	DETDPIG
roues	roue	NCFP
,	,	PCTFAIB
ce	ce	DETDEM
flamboiement	flamboiement	NCMS
des	de le	DETDPIG
panneaux	panneau	NCMP
vernis	vernir	VPARPMP
dans	dans	PREP
lesquels	lequel	PRI
brûlait	brûler	VINDI3S
la	le	DETDFS
braise	braise	NCFS
rouge	rouge	ADJSIG
du	de le	DETDMS
soleil	soleil	NCMS
couchant	couchant	NCMS
,	,	PCTFAIB
ces	ce	DETDEM
notes	note	NCFP
vives	vif	ADJFP
que	que	PRI
jetaient	jeter	VINDI3P
les	le	DETDPIG
livrées	livrée	NCFP
éclatantes	éclatant	ADJFP
perchées	perchée	NCFP
en	en	PREP
