forme	lemme	catégorie
écraser	écraser	VINF
,	,	PCTFAIB
lui	lui	PPER3S
dit	dire	VINDP3S
-elle	elle	PPER3S
...	...	PCTFORTE
Où	où	PRI
alliez	aller	VINDI2P
-vous	vous	PPER2P
?	?	PCTFORTE
Je	je	PPER1S
ne	ne	ADV
sais	savoir	VINDP1S
pas	pas	ADV
...	...	PCTFAIB
,	,	PCTFAIB
répondit	répondre	VINDPS3S
-il	il	PPER3S
d'	de	PREP
une	un	DETIFS
voix	voix	NCFIN
très	très	ADV
-basse	bas	ADJFS
.	.	PCTFORTE
Puis	puis	COO
,	,	PCTFAIB
avec	avec	ADV
effort	effort	NCMS
,	,	PCTFAIB
et	et	COO
le	le	DETDMS
regard	regard	NCMS
inquiet	inquiet	ADJMS
:	:	PCTFORTE
J'	je	PPER1S
allais	aller	VINDI1S
à	à	PREP
Paris	Paris	NPHSIG
,	,	PCTFAIB
je	je	PPER1S
suis	être	VINDP1S
tombé	tomber	VPARPMS
,	,	PCTFAIB
je	je	PPER1S
ne	ne	ADV
sais	savoir	VINDP1S
pas	pas	ADV
...	...	PCTFORTE
Elle	elle	PPER3S
le	le	PPER3S
voyait	voir	VINDI3S
mieux	mieux	ADV
,	,	PCTFAIB
et	et	COO
il	il	PPER3S
était	être	VINDI3S
lamentable	lamentable	ADJSIG
,	,	PCTFAIB
avec	avec	PREP
son	son	DETPOSS
pantalon	pantalon	NCMS
noir	noir	ADJMS
,	,	PCTFAIB
sa	son	DETPOSS
redingote	redingote	NCFS
noire	noir	ADJFS
,	,	PCTFAIB
tout	tout	ADV
effiloqués	effiloquer	VPARPMP
,	,	PCTFAIB
montrant	montrer	VPARPRES
les	le	DETDPIG
sécheresses	sécheresse	NCFP
des	de le	DETDPIG
os	os	NCMIN
.	.	PCTFORTE
Sa	son	DETPOSS
casquette	casquette	NCFS
,	,	PCTFAIB
de	de	PREP
gros	gros	ADJMIN
drap	drap	NCMS
noir	noir	ADJMS
,	,	PCTFAIB
rabattue	rabattre	VPARPFS
peureusement	peureusement	ADV
sur	sur	PREP
les	le	DETDPIG
sourcils	sourcil	NCMP
,	,	PCTFAIB
découvrait	découvrir	VINDI3S
deux	deux	ADJNUM
grands	grand	ADJMP
yeux	oeil	NCMP
bruns	brun	ADJMP
,	,	PCTFAIB
d'	de	PREP
une	un	DETIFS
singulière	singulier	ADJFS
douceur	douceur	NCFS
,	,	PCTFAIB
dans	dans	PREP
un	un	DETIMS
visage	visage	NCMS
dur	dur	ADJMS
et	et	COO
tourmenté	tourmenté	ADJMS
.	.	PCTFORTE
Madame	madame	NCFIN
François	François	NPHSIG
pensa	penser	VINDPS3S
qu'	que	SUB
il	il	PPER3S
était	être	VINDI3S
vraiment	vraiment	ADV
trop	trop	ADV
maigre	maigre	ADJSIG
pour	pour	PREP
avoir	avoir	VINF
bu	boire	VPARPMS
.	.	PCTFORTE
Et	et	COO
où	où	PRI
alliez	aller	VINDI2P
-vous	vous	PPER2P
,	,	PCTFAIB
dans	dans	PREP
Paris	Paris	NPHSIG
?	?	PCTFAIB
demanda	demander	VINDPS3S
-t	t	NCFS
-elle	elle	PPER3S
de	de	PREP
nouveau	nouveau	NCMS
.	.	PCTFORTE
Il	il	PPER3S
ne	ne	ADV
répondit	répondre	VINDPS3S
pas	pas	ADV
tout	tout	ADV
de	de	PREP
suite	suite	NCFS
;	;	PCTFORTE
cet	ce	DETDEM
interrogatoire	interrogatoire	NCMS
le	le	PPER3S
gênait	gêner	VINDI3S
.	.	PCTFORTE
Il	il	PPER3S
parut	paraître	VINDPS3S
se	se	PPER3S
consulter	consulter	VINF
;	;	PCTFORTE
puis	puis	COO
,	,	PCTFAIB
en	en	PREP
hésitant	hésiter	VPARPRES
:	:	PCTFORTE
Par	par	PREP
là	là	ADV
,	,	PCTFAIB
du	de le	DETDMS
côté	côté	NCMS
des	de le	DETDPIG
Halles	halle	NCFP
.	.	PCTFORTE
Il	il	PPER3S
s'	se	PPER3S
